Reserves,Mine Production Ore 2015,Mine Production Ore 2016,Mine Production Iron 2015,Mine Production Iron 2016,Reserves Ore,Reserves (shipping grade)
United States,46,41,29,26,3000,790
Australia,817,825,486,491,52000,23000
Brazil,397,391,257,254,23000,12000
Canada,46,48,28,29,6000,2300
China,375,353,232,219,21000,7200
India,156,160,96,98,8100,5200
Iran,27,26,13,11,2700,1500
Kazakhstan,21,21,12,12,2500,900
Russia,101,100,61,60,25000,14000
South Africa,73,60,46,38,1200,770
Sweden,25,25,15,15,3500,2200
Ukraine,67,58,40,35,6500,2300
