Country,Mine Production 2015,Mine Production 2016,Reserves (shipping grade)
United States,27200,25000,160000
Australia,222000,206000,19000000
Brazil,160000,142000,10000000
Canada,235000,255000,2900000
China,92900,90000,2500000
Colombia,40400,36800,1100000
Cuba,56400,56000,5500000
Guatemala,52400,58600,1800000
Indonesia,130000,168500,4500000
Madagascar,45500,48000,1600000
New Caledonia,186000,205000,6700000
Philippines,554000,500000,4800000
Russia,269000,256000,7600000
South Africa,56700,50000,3700000
